panoid	id	title	lat	lng	pitch	heading
OEhcYSpinuDolLgKOf0QYg	roppongi-sakurazaka	Roppongi Sakurazaka	35.658843	139.728347	-42.24	2.42
l2oUD2hhHPlcoJ8hMVa1mw	chuo-university-tama-campus	Chuo University Tama Campus	35.640289	139.40374	-10.41	50.76
7uLbeBiIG-EWz-jlvz6pOQ	kanazawa-castle-park	Kanazawa Castle Park	36.566204	136.659976	-14.68	261.88
2yMjg0LXlkKEgtf6ltKDBw	daigoji-temple	Daigoji Temple	34.950674	135.819256	-10.48	-202.72
gtXKE9au-VcHwfsyJKGEQw	kasuga-park	Kasuga Park	35.83758	137.94806	-10.42	32.59
uBzgnU53rUof49Bh5w8m5g	honjoyama-park	Honjoyama Park	35.095297	138.898865	-15.57	17.61
wB8QDDeucy-UThbPTc40zA	takato-castle-ruins-park	Takato Castle Ruins Park	35.833168	138.061967	-26.84	166.01
DLYRoAZrDZitJb6vGwaV6A	ooyama-park	Ooyama Park	38.753791	139.759551	-14.73	289.17
5zPK5ISkG1TBAq210v0tFw	philosophers-path-1	Philosopher's Path	35.024632	135.79642	-4.88	1.9
HjwhJyBI6s8OTCq96ILNcg	funaoka-castle-site-park	Funaoka Castle Site Park	38.053752	140.755311	6.99	56.9
b5aLP3iApy3a-zDkk2EoZQ	yoyogi-park-1	Yoyogi Park	35.671293	139.696202	-9.59	200.6
cqLAQcApQmBdDhdDfIC2Eg	wanizuka-sakura	Wanizuka Sakura	35.708296	138.425753	-9.57	86.91
F8tN2ffR7-vxyJALV1KjTA	sayama-inariyama-park	Sayama Inariyama Park	35.846027	139.398134	-26.64	297.71
CKBrPazsYQZ1C9k5TKU2nw	asukayama-park	Asukayama Park	35.751129	139.738245	-13.1	117.47
GrL_fTRDCW3HnuxdVXU-FA	old-man-of-storr-1	Old Man of Storr	57.507679	-6.173168	-14.28	286.5
51tXfM57tke7pN07FlVK1Q	creag-meagaidh-coire-ardair-1	Creag Meagaidh - Coire Ardair	56.970647	-4.536395	-1.0	82.35
3heOfGvnfzZqbR4dULxnTQ	steall-falls-and-the-nevis-gorge-1	Steall Falls and the Nevis Gorge	56.774234	-4.98637	-4.33	335.65
G0-dUSw5pzYBWtrP0ekHEw	creag-meagaidh-coire-ardair	Creag Meagaidh - Coire Ardair	56.960547	-4.565926	-6.91	235.47
0swSDBvfqt1BGt2IhYpNOA	creag-meagaidh-coire-ardair-2	Creag Meagaidh - Coire Ardair	56.958039	-4.510506	-13.16	133.7
Kx98qHIYwP1RTPJHPxnkdA	bennachie-mither-tap	Bennachie - Mither Tap	57.290983	-2.52882	-6.72	351.99
CNDKIswGTIkFBbWoJmT0gA	old-man-of-storr	Old Man of Storr	57.499409	-6.161632	-5.47	296.27
jKZvMuIvpKn0jAdI6lBcVQ	cairn-gorm-1	Cairn Gorm	57.132811	-3.659329	-19.53	222.88
oqScYdlWCoBSOFb4xR1y4A	old-man-of-storr-2	Old Man of Storr	57.505253	-6.172549	-4.22	135.75
jzFi1ZJD-RGgSPuouC3plQ	steall-falls-and-the-nevis-gorge	Steall Falls and the Nevis Gorge	56.775597	-4.988468	-7.37	136.83
jtxiIuDhlo68VvJZqX55wQ	creigellachie-national-nature-reserve	Creigellachie National Nature Reserve	57.190995	-3.851128	-4.3	30.26
IyU2jtSxvyT8WivgF-y2GA	steall-falls-and-the-nevis-gorge-2	Steall Falls and the Nevis Gorge	56.772739	-4.981608	-13.09	168.24
3aA8TT-C-16eMApwU62_1Q	craigellachie-national-nature-reserve-1	Craigellachie National Nature Reserve	57.18873	-3.852874	0.97	345.43
